title,year,venue,url,verified,maps_to,same_or_contradict
"Sharpening the Focus: Using Cash-Flow Data to Underwrite Financially Constrained Businesses",2025,FinRegLab,https://finreglab.org/wp-content/uploads/2025/06/FinRegLab_06-03-2025_Sharpening-the-Focus.pdf,yes,"Q1 Q3 Q5 NSF low-neg 3m-average application PD","CONTRADICT if B used as Y2/Y3 X; CONTRADICT quiet-stressed (they want bigger credits); SAME NSF/fee as Y9 label; NEW leftover-after-days vs their raw AUC"
"Checking account activity and credit default risk of enterprises: An application of statistical learning methods",2017,arXiv:1707.00757,https://arxiv.org/abs/1707.00757,yes,"Q3 Q5 size-normalize credit-line inflows","SAME normalize size (a_in3 leftover 0.521 dies); CONTRADICT utilisation X (Y10 impossible); still default PD"
"AI-BAAM: AI-Driven Bank Statement Analytics as Alternative Data for Malaysian MSME Credit Scoring",2025,arXiv:2510.16066v4,https://arxiv.org/html/2510.16066v4,yes,"Q5 WOE IV leakage smell","SAME IV>=0.5 leakage; v4 val blended 0.806 / CV 0.672-0.821-0.850; top IV log-balance-growth 0.484 is B-like; CONTRADICT quoting raw as trophy"
"Credit Line Usage, Checking Account Activity, and Default Risk of Bank Borrowers",2010,RFS 23(10),https://doi.org/10.1093/rfs/hhq061,yes,"Q3 Q6 12m lead usage inflows AMPLI","SAME 12m path exists; CONTRADICT capability (util 1.6%); AMPLI=HIGH-LOW of balances is B-forbidden; NEW legal leftover is Delta days not AMPLI"
"Transactions Accounts and Loan Monitoring",2007,RFS 20(3),https://doi.org/10.1093/rfs/hhl018,yes,"Q1 Q6 last-value balances as monitor","SAME last-value Q1 photograph; CONTRADICT B as Y2/Y3 X"
"Cash is King: Flows, Balances, and Buffer Days",2016,JPMorgan Chase Institute,https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/institute/pdf/jpmc-institute-small-business-report.pdf,yes,"Q1 cash buffer days = b_runway","SAME health not PD; last-value p50 1.079m ~ their 27 days; CONTRADICT using buffer as recovery X"
"Facing Uncertainty: Small Business Cash Flow Patterns in 25 U.S. Cities",2019,JPMorgan Chase Institute,https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/institute/pdf/institute-facing-uncertainty.pdf,yes,"Q1 Q2 Q3 regularity trajectory","SAME object is a 24m-style pattern; CONTRADICT treating irregularity as c_gap_sd (DROPPED twin of days)"
"The Use of Cash-Flow Data in Underwriting Credit: Empirical Research Findings",2019,FinRegLab,https://finreglab.org/wp-content/uploads/2023/12/FinRegLab_2019-07-25_Research-Report_The-Use-of-Cash-Flow-Data-in-Underwriting-Credit_Empirical-Research-Findings.pdf,yes,"Q3 Q5 thin-file cash-flow >= bureau","SAME cash-flow adds lift (0.592-0.725; combo 0.758 vs 0.720); CONTRADICT raw AUC without leftover gate"
"Intelligent Credit Scoring: Building and Implementing Better Credit Risk Scorecards 2nd ed",2017,Wiley,https://www.wiley.com/en-us/Intelligent+Credit+Scoring%3A+Building+and+Implementing+Better+Credit+Risk+Scorecards%2C+2nd+Edition-p-9781119282334,yes,"Q5 8-15 card reasons WOE behavior vs application","SAME 15-col card; SAME reasons=scored stems; NEW y3_importances still names dropped a_n_tx"
"Censored Data Forecasting: Applying Tobit Exponential Smoothing with Time Aggregation",2024,arXiv:2409.05412,https://arxiv.org/abs/2409.05412,yes,"Q2 PARK weekly TS","CONTRADICT planned LOC use (paper is inventory stockouts); SAME PARK vs hist mean"
"Financial Ratios Discriminant Analysis and the Prediction of Corporate Bankruptcy",1968,Journal of Finance 23(4),https://doi.org/10.1111/j.1540-6261.1968.tb00843.x,yes,"CONTRAST snapshot PD","CONTRAST: one-year statement bankruptcy PD is not a 24m treasury health trajectory"
